TITLE     = "Subsonic"
VARIABLES = "X"
"Y"
"Density"
"QX"
"QY"
"T"
"U"
"V"
"Txy"
"Mach"
"Pressure"
"Kundsen"
ZONE T="MAIN ZONE"
 STRANDID=0, SOLUTIONTIME=0
 I=101, J=31, K=1, ZONETYPE=Ordered
 DATAPACKING=POINT
 DT=(SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE )
 0.000000000E+00 5.700000111E-05 1.600700021E+00 1.339400000E+04 -6.914600098E+03 3.000000000E+02 5.250600052E+01 2.072400093E+01 2.842799988E+02 1.975000054E-01 1.002500057E+00 5.801399820E-04
 2.049999921E-06 5.779999992E-05 1.600200057E+00 -3.487300049E+03 -6.955000000E+03 2.996199951E+02 5.357799911E+01 2.072200012E+01 2.696099854E+02 2.001300007E-01 9.996200204E-01 5.816299818E-04
 4.099999842E-06 5.859999874E-05 1.598600030E+00 -1.614700000E+04 -5.432000000E+03 2.991499939E+02 5.579999924E+01 2.110199928E+01 2.053999939E+02 2.070000023E-01 9.958199859E-01 5.835299962E-04
 6.149999990E-06 5.940000119E-05 1.596699953E+00 -1.483100000E+04 -2.208300049E+03 2.990100098E+02 5.817399979E+01 2.196500015E+01 1.576799927E+02 2.158100009E-01 9.941999912E-01 5.842000246E-04
 8.199999684E-06 6.020000001E-05 1.594300032E+00 -1.564800000E+04 -1.350199951E+03 2.989500122E+02 6.087400055E+01 2.299699974E+01 1.350800018E+02 2.258699983E-01 9.924700260E-01 5.850999733E-04
 1.024999983E-05 6.099999882E-05 1.590600014E+00 -1.515500000E+04 -4.639599915E+02 2.988599854E+02 6.387500000E+01 2.412700081E+01 1.028600006E+02 2.370299995E-01 9.898899794E-01 5.864499835E-04
 1.229999998E-05 6.179999764E-05 1.587399960E+00 -1.240600000E+04 1.279900024E+03 2.986400146E+02 6.697299957E+01 2.529700089E+01 9.645899963E+01 2.486200035E-01 9.871799946E-01 5.876300274E-04
 1.435000013E-05 6.259999645E-05 1.584599972E+00 -3.280700073E+02 1.157000000E+03 2.983599854E+02 7.021900177E+01 2.655699921E+01 1.031800003E+02 2.608399987E-01 9.844999909E-01 5.886799772E-04
 1.639999937E-05 6.340000255E-05 1.580199957E+00 7.164100098E+03 -3.130600098E+03 2.980499878E+02 7.376200104E+01 2.792600060E+01 1.206299973E+02 2.741799951E-01 9.807599783E-01 5.903000128E-04
 1.845000043E-05 6.420000136E-05 1.575700045E+00 1.130200000E+04 -6.293099976E+02 2.977799988E+02 7.746299744E+01 2.935499954E+01 1.338699951E+02 2.881000042E-01 9.770900011E-01 5.919900141E-04
 2.049999966E-05 6.500000018E-05 1.570099950E+00 5.825299805E+03 3.499899902E+03 2.975700073E+02 8.125599670E+01 3.081800079E+01 1.230699997E+02 3.023400009E-01 9.729099870E-01 5.940999836E-04
 2.255000072E-05 6.579999899E-05 1.563199997E+00 -5.336799805E+03 -2.050699951E+03 2.972200012E+02 8.531500244E+01 3.238000107E+01 1.158899994E+02 3.176600039E-01 9.675099850E-01 5.967299803E-04
 2.459999996E-05 6.659999781E-05 1.556699991E+00 -1.079800034E+02 -5.342399902E+03 2.966600037E+02 8.955100250E+01 3.405400085E+01 1.357200012E+02 3.338299990E-01 9.616500139E-01 5.992400111E-04
 2.664999920E-05 6.739999662E-05 1.549399972E+00 1.063400000E+04 -5.531600098E+03 2.961700134E+02 9.399700165E+01 3.579000092E+01 1.443099976E+02 3.507499993E-01 9.555699825E-01 6.020499859E-04
 2.870000026E-05 6.820000272E-05 1.540699959E+00 1.066700000E+04 -6.082899902E+03 2.957399902E+02 9.871600342E+01 3.762599945E+01 1.284299927E+02 3.686800003E-01 9.488499761E-01 6.054299884E-04
 3.075000132E-05 6.900000153E-05 1.530799985E+00 8.457099609E+03 5.683499908E+01 2.951600037E+02 1.037699966E+02 3.954600143E+01 1.433899994E+02 3.879199922E-01 9.409199953E-01 6.093499833E-04
 3.279999873E-05 6.980000035E-05 1.520200014E+00 2.249300000E+04 9.606299805E+03 2.944400024E+02 1.092200012E+02 4.164599991E+01 1.673500061E+02 4.088299870E-01 9.321100116E-01 6.136100274E-04
 3.484999979E-05 7.059999916E-05 1.507900000E+00 2.452500000E+04 1.217300000E+04 2.936099854E+02 1.151999969E+02 4.395000076E+01 1.724400024E+02 4.318400025E-01 9.219700098E-01 6.186100072E-04
 3.690000085E-05 7.139999798E-05 1.492799997E+00 1.595600000E+04 1.300800000E+04 2.926799927E+02 1.218099976E+02 4.649300003E+01 1.946300049E+02 4.573799968E-01 9.097899795E-01 6.249099970E-04
 3.894999827E-05 7.219999679E-05 1.475900054E+00 1.740200000E+04 1.236800000E+04 2.915400085E+02 1.290500031E+02 4.930599976E+01 2.006300049E+02 4.855799973E-01 8.960099816E-01 6.320499815E-04
 4.099999933E-05 7.300000289E-05 1.455399990E+00 3.194500000E+04 1.496100000E+04 2.900700073E+02 1.374499969E+02 5.251100159E+01 2.205700073E+02 5.184900165E-01 8.791599870E-01 6.409600028E-04
 4.305000039E-05 7.380000170E-05 1.428900003E+00 4.125800000E+04 2.321700000E+04 2.882600098E+02 1.472400055E+02 5.625299835E+01 2.704500122E+02 5.572000146E-01 8.577200174E-01 6.528900121E-04
 4.510000144E-05 7.460000052E-05 1.395499945E+00 4.357600000E+04 2.148600000E+04 2.860299988E+02 1.589799957E+02 6.069200134E+01 3.122399902E+02 6.039000154E-01 8.312399983E-01 6.685699918E-04
 4.714999886E-05 7.539999933E-05 1.351899981E+00 6.242400000E+04 1.842500000E+04 2.829400024E+02 1.745200043E+02 6.648400116E+01 4.258099976E+02 6.664500237E-01 7.965999842E-01 6.902400055E-04
 4.919999992E-05 7.619999815E-05 1.285899997E+00 1.086400000E+05 2.929000000E+04 2.777900085E+02 1.988899994E+02 7.491699982E+01 6.053200073E+02 7.656499743E-01 7.441499829E-01 7.261399878E-04
 5.125000098E-05 7.699999696E-05 9.055699706E-01 1.695800000E+05 5.374000000E+04 2.571799927E+02 2.561900024E+02 5.361100197E+00 1.296100006E+02 1.007200003E+00 4.972000122E-01 1.198100043E-03
 5.329999840E-05 7.627999730E-05 4.927000105E-01 1.243000000E+05 4.186800000E+04 2.348399963E+02 3.004700012E+02 -8.855799866E+01 -1.804900055E+02 1.229300022E+00 2.417100072E-01 1.936599961E-03
 5.534999946E-05 7.555999764E-05 4.242199957E-01 4.473200000E+04 1.374600000E+04 2.292299957E+02 3.053200073E+02 -1.089899979E+02 5.574700165E+01 1.284999967E+00 2.025000006E-01 2.199199982E-03
 5.740000051E-05 7.483999798E-05 4.368799925E-01 3.489700000E+04 1.349500000E+04 2.284600067E+02 3.095000000E+02 -1.107099991E+02 2.586700058E+01 1.305099964E+00 2.078299969E-01 2.135799965E-03
 5.945000157E-05 7.411999832E-05 4.497399926E-01 3.090000000E+04 1.187200000E+04 2.280299988E+02 3.130400085E+02 -1.116699982E+02 2.230499983E+00 1.320899963E+00 2.135600001E-01 2.074399963E-03
 6.150000263E-05 7.339999866E-05 4.587999880E-01 2.765300000E+04 1.132400000E+04 2.274199982E+02 3.168099976E+02 -1.126100006E+02 -1.420300007E+01 1.338099957E+00 2.172700018E-01 2.033299999E-03
