field,coordinate,Ns,E1_percent,E1_to_E2_percent,E1_to_E3_percent,N99
Rho,x_physical,15,78.92211224115974,88.46678911950767,93.7618094111792,8
Rho,xi_jump,15,97.98551299030282,99.18217900059749,99.86482836532875,2
U,x_physical,15,70.09307278034281,82.02898911123866,88.7651520124831,8
U,xi_jump,15,94.69098343694917,98.85583627988261,99.4755325219344,3
Pressure,x_physical,15,77.76838805599971,87.25809423176048,93.19316135243825,8
Pressure,xi_jump,15,97.74293799566189,98.990367718639,99.81315365563191,3
Mach,x_physical,15,69.88733040729387,82.88657010365287,90.05328759519222,8
Mach,xi_jump,15,95.29733874678456,98.7732337593351,99.50920880699653,3
