coordinate,E1_percent,E1_plus_E2_percent,N95,N99,N995
x_physical,78.92211224115974,88.46678911950767,4,8,9
d_unscaled,91.54549781425081,98.85650995804058,2,3,3
xi_jump,97.98551299030282,99.18217900059749,1,2,3
xi_Lrho,95.97564664117638,99.13216481959539,1,2,3
